Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
21.01.2021;26,02;26,225;26,225;25,925;0,41K;0,34%
21.01.2022;24,357;24,53;24,655;24,26;-;-1,60%
21.02.2022;24,038;24,032;24,207;23,707;-;0,02%
21.03.2022;25,313;25,15;25,52;25,05;34,84K;1,06%
21.04.2021;26,632;25,945;26,77;25,945;1,88K;2,81%
21.05.2021;27,51;27,885;28,2;27,31;2,87K;-2,07%
21.06.2021;26,065;25,895;26,17;25,615;13,28K;0,52%
21.07.2021;25,255;24,975;25,365;24,79;50,53K;1,04%
21.09.2021;22,611;22,265;22,72;22,21;41,11K;1,83%
21.10.2021;24,17;24,37;24,55;24,07;58,68K;-1,12%
21.12.2021;22,502;22,225;22,74;22,225;0,19K;1,02%
22.01.2021;25,717;25,98;25,98;25,335;0,26K;-1,16%
22.02.2021;28,166;27,62;28,385;27,465;0,55K;2,51%
22.02.2022;24,356;24,095;24,425;23,755;42,99K;1,32%
22.03.2021;25,818;26,05;26,05;25,645;0,27K;-0,52%
22.03.2022;24,904;25,41;25,59;24,695;45,76K;-1,62%
22.04.2021;26,247;26,705;26,705;26,125;0,64K;-1,45%
22.06.2021;25,898;26,02;26,12;25,775;13,53K;-0,64%
22.07.2021;25,381;25,33;25,515;25,06;48,08K;0,50%
22.09.2021;22,907;22,485;23,15;22,455;51,99K;1,31%
22.10.2021;24,449;24,22;24,92;24,185;83,28K;1,15%
22.11.2021;24,297;24,67;24,955;24,14;78,54K;-1,43%
22.12.2021;22,792;22,465;22,705;22,465;0,19K;1,29%
23.02.2021;27,782;28,05;28,145;27,595;0,53K;-1,36%
23.02.2022;24,598;24,2;24,66;24,095;37,69K;0,99%
23.03.2021;25,285;25,765;25,795;25,125;0,24K;-2,06%
23.03.2022;25,189;24,915;25,37;24,78;34,15K;1,14%
23.04.2021;26,142;26,265;26,405;25,96;1,59K;-0,40%
23.06.2021;26,152;25,89;26,41;25,85;23,74K;0,98%
23.07.2021;25,233;25,48;25,535;25,05;39,88K;-0,58%
23.08.2021;23,656;22,985;23,705;22,925;57,34K;3,09%
23.09.2021;22,679;22,695;22,88;22,465;43,74K;-1,00%
23.11.2021;23,435;24,21;24,34;23,28;93,87K;-3,55%
23.12.2021;22,94;22,815;22,965;22,68;33,91K;0,65%
24.01.2022;23,837;24,35;24,38;23,65;-;-2,07%
24.02.2021;27,963;27,835;28,03;27,515;0,26K;0,65%
24.02.2022;24,71;24,65;25,705;23,88;90,87K;0,46%
24.03.2021;25,295;25,25;25,475;25,2;0,43K;0,04%
24.03.2022;25,92;25,285;26,16;25,17;61,00K;2,90%
24.05.2021;27,932;27,71;28,035;27,585;2,20K;0,99%
24.06.2021;26,089;25,98;26,28;25,905;25,31K;-0,24%
24.08.2021;23,937;23,695;24,015;23,595;19,86K;1,19%
24.09.2021;22,425;22,53;22,79;22,09;41,67K;-1,12%
24.11.2021;23,496;23,64;23,695;23,4;54,62K;0,26%
25.01.2021;25,65;25,75;25,885;25,43;0,29K;0,14%
25.01.2022;23,934;24,065;24,065;23,685;-;0,41%
25.02.2021;27,733;28,08;28,31;27,4;0,48K;-0,82%
25.02.2022;24,017;24,33;24,55;23,92;67,32K;-2,80%
25.03.2021;25,108;25,2;25,265;24,555;0,65K;-0,74%
25.03.2022;25,615;25,85;26,035;25,47;37,91K;-1,18%
25.05.2021;28,086;27,895;28,18;27,595;2,99K;0,55%
25.06.2021;26,126;26,055;26,415;26,01;31,54K;0,14%
25.08.2021;23,822;23,915;23,96;23,64;32,16K;-0,48%
25.10.2021;24,592;24,395;24,695;24,365;44,83K;0,57%
25.11.2021;23,582;23,585;23,733;23,562;-;0,37%
26.01.2021;25,701;25,57;25,645;25,57;0,14K;0,20%
26.01.2022;23,846;23,895;24,04;23,515;-;-0,37%
26.02.2021;26,498;27,58;27,58;26,35;0,62K;-4,45%
26.03.2021;25,184;25,35;25,35;25;0,19K;0,30%
26.04.2021;26,276;26,2;26,345;25,995;0,51K;1,08%
26.05.2021;27,907;28,15;28,355;27,73;2,34K;-0,64%
26.07.2021;25,318;25,27;25,51;25,175;40,29K;0,39%
26.08.2021;23,596;23,93;23,945;23,465;35,44K;-0,95%
26.10.2021;24,088;24,65;24,655;23,925;61,76K;-2,05%
26.11.2021;23,107;23,58;23,735;22,915;61,28K;-2,01%
27.01.2021;25,548;25,325;25,555;25;0,15K;-0,60%
27.01.2022;22,714;23,59;23,655;22,625;-;-4,75%
27.03.2022;25,672;25,625;25,79;25,622;-;0,22%
27.04.2021;26,484;26,23;26,55;26,23;1,32K;0,79%
27.05.2021;27,971;27,805;28,02;27,635;3,28K;0,23%
27.07.2021;24,649;25,255;25,32;24,515;80,91K;-2,64%
27.08.2021;24,11;23,61;24,18;23,355;61,30K;2,18%
27.09.2021;22,694;22,395;22,865;22,39;36,11K;1,25%
27.10.2021;24,191;24,22;24,33;23,905;48,09K;0,43%
27.12.2021;22,979;22,68;22,68;22,68;0,00K;0,44%
28.01.2021;26,058;25,25;27,04;25,25;0,58K;2,00%
28.01.2022;22,34;22,84;22,85;22,2;-;-1,65%
28.02.2022;24,366;24,62;24,88;24,155;55,28K;-0,38%
28.03.2022;25,188;25,668;25,692;25,032;-;-1,89%
28.04.2021;26,151;26,23;26,385;25,91;1,25K;-1,26%
28.05.2021;28,045;28,005;28,12;27,515;2,81K;0,26%
28.06.2021;26,254;26,22;26,335;25,875;40,54K;0,24%
