Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
11.08.2021;69,25;68,51;69,45;66,67;513,29K;1,41%
11.10.2021;80,52;79,59;82,18;79,55;653,76K;1,47%
11.11.2021;81,59;81,41;82,33;80,2;475,44K;0,31%
12.01.2021;53,21;52,18;53,45;52,07;400,20K;1,84%
12.01.2022;82,64;81,38;83,1;81,17;420,62K;1,75%
12.02.2021;59,47;57,94;59,82;57,41;480,82K;2,11%
12.03.2021;65,61;65,96;66,24;65,41;321,71K;-0,62%
12.04.2021;59,7;59,35;60,77;58,73;410,22K;0,64%
12.05.2021;66,08;65,46;66,63;64,97;508,52K;1,23%
12.07.2021;74,1;74,74;74,93;73,16;397,93K;-0,62%
12.08.2021;69,09;69,36;69,62;68,46;352,47K;-0,23%
12.10.2021;80,64;80,5;81,62;79,47;598,18K;0,15%
12.11.2021;80,79;81,21;81,62;79,78;390,30K;-0,98%
13.01.2021;52,91;53,31;53,93;52,58;429,90K;-0,56%
13.01.2022;82,12;82,82;82,94;81,39;364,77K;-0,63%
13.04.2021;60,18;59,64;60,59;59,64;349,73K;0,80%
13.05.2021;63,82;65,75;65,81;63,09;547,69K;-3,42%
13.07.2021;75,25;74,18;75,52;73,68;444,08K;1,55%
13.08.2021;68,44;68,91;69,22;67,77;272,03K;-0,94%
13.09.2021;70,45;69,74;70,97;69,51;390,94K;1,05%
13.10.2021;80,44;80,58;81,04;79,42;487,22K;-0,25%
13.12.2021;71,29;72,04;73;70,71;406,60K;-0,53%
14.01.2021;53,57;52,84;53,75;52,24;390,09K;1,25%
14.01.2022;83,82;81,73;84,45;81,58;364,44K;2,07%
14.02.2021;60,37;60,01;60,75;60,01;-;1,51%
14.02.2022;95,46;93,91;95,82;92,09;467,07K;2,53%
14.03.2022;103,01;109,42;109,72;99,76;344,18K;-5,78%
14.04.2021;63,15;60,44;63,44;60,38;419,81K;4,94%
14.05.2021;65,37;63,83;65,62;63,33;383,75K;2,43%
14.06.2021;70,88;70,65;71,78;70,65;319,64K;-0,04%
14.07.2021;73,13;75,17;75,44;72,21;528,36K;-2,82%
14.09.2021;70,46;70,64;71,22;69,98;414,23K;0,01%
14.10.2021;81,31;80,59;81,68;80,38;399,81K;1,08%
14.12.2021;70,73;71,12;72,03;69,51;359,45K;-0,79%
15.01.2021;52,36;53,8;53,83;51,83;165,67K;-2,26%
15.02.2021;60,09;60,36;60,95;59,96;-;-0,46%
15.02.2022;92,07;94,83;95,17;90,66;442,64K;-3,55%
15.03.2021;65,39;65,56;66,4;64,13;378,01K;-0,34%
15.03.2022;96,44;102,28;102,58;93,53;401,69K;-6,38%
15.04.2021;63,46;62,83;63,57;62,53;243,37K;0,49%
15.06.2021;72,12;71,16;72,49;70,81;336,04K;1,75%
15.07.2021;71,65;72,96;72,96;71,4;368,68K;-2,02%
15.09.2021;72,61;70,76;73,14;70,65;418,67K;3,05%
15.10.2021;82,28;81,48;82,66;81,39;277,95K;1,19%
15.11.2021;80,88;80,66;81,2;79,3;343,48K;0,11%
15.12.2021;70,87;70,35;71,66;69,39;294,34K;0,20%
16.01.2022;83,83;83,78;84,09;83,68;-;0,01%
16.02.2021;60,05;59,98;60,95;59,33;602,33K;-0,07%
16.02.2022;93,66;92,21;95,01;90;401,45K;1,73%
16.03.2021;64,8;65,33;65,43;63,8;317,54K;-0,90%
16.03.2022;95,04;95,23;99,22;94,07;293,95K;-1,45%
16.04.2021;63,13;63,32;63,88;62,83;87,80K;-0,52%
16.06.2021;72,15;72,45;72,99;71,61;426,78K;0,04%
