Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
23.03.2021;1.736,50;1.738,00;1.738,00;1.734,30;0,01K;-0,74%
23.03.2022;1.937,30;1.920,90;1.948,80;1.915,60;153,31K;0,82%
23.04.2021;1.787,20;1.789,70;1.789,70;1.782,00;0,02K;-0,25%
23.06.2021;1.791,10;1.790,90;1.800,00;1.790,90;0,01K;0,34%
23.07.2021;1.809,30;1.810,00;1.810,20;1.799,90;0,31K;-0,20%
23.08.2021;1.810,30;1.783,70;1.811,70;1.783,70;0,75K;1,25%
23.09.2021;1.753,40;1.771,30;1.780,20;1.742,10;1,21K;-1,64%
23.11.2021;1.788,10;1.813,30;1.816,40;1.786,60;6,13K;-1,26%
23.12.2021;1.814,00;1.806,90;1.814,20;1.801,60;2,46K;0,52%
24.01.2022;1.844,20;1.838,30;1.847,20;1.831,90;103,78K;0,55%
24.02.2021;1.808,00;1.819,70;1.819,70;1.798,80;0,01K;-0,41%
24.02.2022;1.926,30;1.911,90;1.976,50;1.878,60;423,05K;0,83%
24.03.2021;1.744,20;1.742,40;1.742,40;1.742,20;0,00K;0,44%
24.03.2022;1.962,20;1.944,10;1.967,20;1.937,40;181,20K;1,29%
24.05.2021;1.894,00;1.891,70;1.894,60;1.891,70;0,02K;0,42%
24.06.2021;1.784,40;1.792,80;1.792,80;1.782,50;0,00K;-0,37%
24.08.2021;1.812,50;1.810,00;1.813,60;1.807,00;0,72K;0,12%
24.09.2021;1.755,40;1.753,00;1.761,00;1.745,50;0,84K;0,11%
24.11.2021;1.788,80;1.793,90;1.800,10;1.782,40;4,60K;0,04%
25.01.2021;1.872,20;1.879,20;1.879,20;1.877,80;0,00K;-0,03%
25.01.2022;1.855,00;1.846,00;1.856,70;1.836,80;77,99K;0,59%
25.02.2021;1.787,90;1.802,10;1.802,10;1.802,10;0,00K;-1,11%
25.02.2022;1.887,60;1.906,50;1.925,00;1.884,40;229,78K;-2,01%
25.03.2021;1.736,10;1.745,10;1.745,10;1.745,10;0,01K;-0,46%
25.03.2022;1.954,20;1.957,80;1.965,10;1.942,60;147,90K;-0,41%
25.05.2021;1.907,70;1.887,50;1.910,00;1.887,50;0,04K;0,72%
25.06.2021;1.785,50;1.793,00;1.793,00;1.788,10;0,22K;0,06%
25.08.2021;1.795,00;1.807,60;1.807,60;1.789,00;0,11K;-0,97%
25.10.2021;1.810,40;1.798,70;1.814,60;1.798,70;0,95K;0,58%
25.11.2021;1.792,40;1.789,80;1.795,30;1.787,75;-;0,20%
26.01.2021;1.868,20;1.871,10;1.871,10;1.871,10;0,01K;-0,21%
26.01.2022;1.832,00;1.850,70;1.852,60;1.816,40;154,39K;-1,24%
26.02.2021;1.742,50;1.749,50;1.750,10;1.737,10;0,02K;-2,54%
26.03.2021;1.743,20;1.732,50;1.740,50;1.728,10;0,00K;0,41%
26.04.2021;1.789,60;1.789,60;1.789,60;1.789,60;0,02K;0,13%
26.05.2021;1.911,10;1.917,50;1.922,40;1.904,70;0,05K;0,18%
26.07.2021;1.806,90;1.818,90;1.818,90;1.805,20;0,09K;-0,13%
26.08.2021;1.799,30;1.792,30;1.803,00;1.787,20;0,47K;0,24%
26.10.2021;1.797,10;1.810,60;1.810,60;1.788,00;0,73K;-0,73%
26.11.2021;1.789,90;1.791,30;1.820,80;1.785,30;6,66K;-0,14%
27.01.2021;1.862,10;1.863,60;1.863,60;1.863,60;0,01K;-0,33%
27.01.2022;1.795,00;1.821,40;1.823,80;1.792,70;206,38K;-2,02%
27.03.2022;1.957,00;1.955,60;1.959,40;1.953,90;-;0,14%
27.04.2021;1.788,40;1.789,00;1.789,00;1.785,80;0,01K;-0,07%
27.05.2021;1.906,70;1.907,00;1.909,60;1.897,70;0,02K;-0,23%
27.07.2021;1.807,30;1.806,40;1.811,90;1.803,10;0,92K;0,02%
27.08.2021;1.823,60;1.800,90;1.825,20;1.793,70;0,41K;1,35%
27.09.2021;1.755,60;1.762,30;1.762,30;1.748,60;0,98K;0,01%
27.10.2021;1.802,60;1.797,60;1.804,00;1.788,60;0,84K;0,31%
27.12.2021;1.811,10;1.809,00;1.816,80;1.806,00;2,57K;0,06%
